brand,model,reference,diameter_mm,l2l_mm,thickness_mm,lug_mm,image_url
Rolex,Explorer II (226570),226570,42,50,12.5,21,https://drive.google.com/file/d/1ANnzljELS_U0t8Up2VZMrnpmTYag0HKR/preview
Omega,Speedmaster Professional,310.30.42.50.01.002,42,48.5,13.2,20,https://drive.google.com/file/d/1PaYTClLVlApnfOe2WSNaO4Ss495dON0z/preview
Tudor,Black Bay 54,79000,37,46,11.2,20,https://drive.google.com/file/d/1HlnP7eMn8_HkBHbBNmO7jpiZERrabsIr/preview
Cartier,Santos Medium,WSSA0029,35,42,8.8,20,https://drive.google.com/file/d/1hKd49XqJ3sNDzNHVDw6O9lE8ZyvGHRX5/preview
